,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Xiamen_怎 样,0.862,0.862,0.862,0.862,0.142,1.000,NaN,1.000,NaN,0.074,NaN,0.862,NaN,1.000,NaN,0.933,0.733,NaN,1.000
Beijing_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Haerbin_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Jinan_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Rongcheng_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Taiyuan_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
XiAn_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Chengdu_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Nanjing_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Jixi_窄 狭,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,1.000,0.742,0.742,0.691,0.742,0.742,0.742,0.691,0.691,0.691,0.742
Suzhou_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Wenzhou_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Changsha_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Loudi_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Nanchang_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Meixian_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Guilin_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Guangzhou_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Fuzhou_窄,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.691,0.717,0.717,1.000,0.717,0.717,0.717,1.000,1.000,1.000,0.717
Xiamen_狭,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.742,1.000,1.000,0.717,1.000,1.000,1.000,0.717,0.717,0.717,1.000
Beijing_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Haerbin_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Jinan_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Rongcheng_立 着,0.337,0.337,0.337,1.000,0.337,0.337,0.337,0.337,NaN,0.615,0.449,0.337,0.337,0.337,0.449,0.337,0.337,0.449,0.449
Taiyuan_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
XiAn_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Chengdu_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Nanjing_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Jixi_乃豈,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suzhou_立,0.404,0.404,0.404,0.615,0.404,0.404,0.404,0.404,NaN,1.000,0.585,0.404,0.404,0.404,0.585,0.404,0.404,0.585,0.585
Wenzhou_徛,0.329,0.329,0.329,0.449,0.329,0.329,0.329,0.329,NaN,0.585,1.000,0.329,0.329,0.329,1.000,0.329,0.329,1.000,1.000
Changsha_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Loudi_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Nanchang_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Meixian_徛,0.329,0.329,0.329,0.449,0.329,0.329,0.329,0.329,NaN,0.585,1.000,0.329,0.329,0.329,1.000,0.329,0.329,1.000,1.000
Guilin_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Guangzhou_站,1.000,1.000,1.000,0.337,1.000,1.000,1.000,1.000,NaN,0.404,0.329,1.000,1.000,1.000,0.329,1.000,1.000,0.329,0.329
Fuzhou_徛,0.329,0.329,0.329,0.449,0.329,0.329,0.329,0.329,NaN,0.585,1.000,0.329,0.329,0.329,1.000,0.329,0.329,1.000,1.000
Xiamen_徛,0.329,0.329,0.329,0.449,0.329,0.329,0.329,0.329,NaN,0.585,1.000,0.329,0.329,0.329,1.000,0.329,0.329,1.000,1.000
Beijing_爱 人,1.000,0.824,0.824,0.235,0.824,0.512,0.665,0.824,0.336,0.698,0.822,0.824,0.698,0.822,0.822,0.822,0.822,0.822,NaN
Haerbin_丈 夫,0.824,1.000,1.000,0.216,1.000,0.585,0.593,1.000,0.526,0.686,0.831,1.000,0.686,0.831,0.831,0.831,0.831,0.831,NaN
Jinan_丈 夫,0.824,1.000,1.000,0.216,1.000,0.585,0.593,1.000,0.526,0.686,0.831,1.000,0.686,0.831,0.831,0.831,0.831,0.831,NaN
Rongcheng_汉 字,0.235,0.216,0.216,1.000,0.216,0.189,0.388,0.216,0.260,0.257,0.252,0.216,0.257,0.252,0.252,0.252,0.252,0.252,NaN
Taiyuan_丈 夫,0.824,1.000,1.000,0.216,1.000,0.585,0.593,1.000,0.526,0.686,0.831,1.000,0.686,0.831,0.831,0.831,0.831,0.831,NaN
XiAn_娃 他 爸,0.512,0.585,0.585,0.189,0.585,1.000,0.425,0.585,0.296,0.417,0.652,0.585,0.417,0.652,0.652,0.652,0.652,0.652,NaN
Chengdu_男 的,0.665,0.593,0.593,0.388,0.593,0.425,1.000,0.593,0.423,0.832,0.714,0.593,0.832,0.714,0.714,0.714,0.714,0.714,NaN
Nanjing_丈 夫,0.824,1.000,1.000,0.216,1.000,0.585,0.593,1.000,0.526,0.686,0.831,1.000,0.686,0.831,0.831,0.831,0.831,0.831,NaN
Jixi_女 官,0.336,0.526,0.526,0.260,0.526,0.296,0.423,0.526,1.000,0.467,0.314,0.526,0.467,0.314,0.314,0.314,0.314,0.314,NaN
Suzhou_男 人,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,0.506,1.000,0.679,1.000,NaN,1.000,1.000,NaN,NaN
Wenzhou_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Changsha_丈 夫,0.824,1.000,1.000,0.216,1.000,0.585,0.593,1.000,0.526,0.686,0.831,1.000,0.686,0.831,0.831,0.831,0.831,0.831,NaN
Loudi_男 人,0.698,0.686,0.686,0.257,0.686,0.417,0.832,0.686,0.467,1.000,0.717,0.686,1.000,0.717,0.717,0.717,0.717,0.717,NaN
Nanchang_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Meixian_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Guilin_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Guangzhou_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Fuzhou_老 公,0.822,0.831,0.831,0.252,0.831,0.652,0.714,0.831,0.314,0.717,1.000,0.831,0.717,1.000,1.000,1.000,1.000,1.000,NaN
Xiamen_丈 夫 人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000
Beijing_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Haerbin_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Jinan_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Rongcheng_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Taiyuan_𠹼,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XiAn_这,0.739,0.739,0.739,0.739,0.739,1.000,1.000,0.665,NaN,0.344,NaN,NaN,NaN,NaN,NaN,0.652,NaN,NaN,0.270
Chengdu_这,0.739,0.739,0.739,0.739,0.739,1.000,1.000,0.665,NaN,0.344,NaN,NaN,NaN,NaN,NaN,0.652,NaN,NaN,0.270
Nanjing_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Jixi_尔,0.548,0.548,0.548,0.548,NaN,0.548,0.548,0.548,1.000,0.464,NaN,0.383,0.548,NaN,0.548,NaN,0.464,0.480,0.441
Suzhou_该,0.601,0.601,0.601,0.601,NaN,0.601,0.601,0.601,0.464,1.000,NaN,0.610,0.601,NaN,0.601,NaN,0.695,0.619,0.646
Wenzhou_该 个,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Changsha_咯,0.489,0.489,0.489,0.489,NaN,0.489,0.489,0.489,0.383,0.610,NaN,1.000,0.489,NaN,0.489,NaN,0.786,0.503,0.544
Loudi_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Nanchang_竹固,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN
Meixian_这,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,0.548,0.601,NaN,0.489,1.000,NaN,1.000,NaN,0.636,0.653,0.483
Guilin_囗 个,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN
Guangzhou_呢,0.636,0.636,0.636,0.636,NaN,0.636,0.636,0.636,0.464,0.695,NaN,0.786,0.636,NaN,0.636,NaN,1.000,0.618,0.557
Fuzhou_只,0.653,0.653,0.653,0.653,NaN,0.653,0.653,0.653,0.480,0.619,NaN,0.503,0.653,NaN,0.653,NaN,0.618,1.000,0.616
Xiamen_即,0.483,0.483,0.483,0.483,NaN,0.483,0.483,0.483,0.441,0.646,NaN,0.544,0.483,NaN,0.483,NaN,0.557,0.616,1.000
Beijing_这 里,1.000,1.000,1.000,1.000,1.000,0.739,0.739,0.662,NaN,0.374,NaN,NaN,NaN,NaN,NaN,0.848,NaN,NaN,0.224
Haerbin_这 里,1.000,1.000,1.000,1.000,1.000,0.739,0.739,0.662,NaN,0.374,NaN,NaN,NaN,NaN,NaN,0.848,NaN,NaN,0.224
Jinan_这 里,1.000,1.000,1.000,1.000,1.000,0.739,0.739,0.662,NaN,0.374,NaN,NaN,NaN,NaN,NaN,0.848,NaN,NaN,0.224
Rongcheng_这 里,1.000,1.000,1.000,1.000,1.000,0.739,0.739,0.662,NaN,0.374,NaN,NaN,NaN,NaN,NaN,0.848,NaN,NaN,0.224
Taiyuan_这 里,1.000,1.000,1.000,1.000,1.000,0.739,0.739,0.662,NaN,0.374,NaN,NaN,NaN,NaN,NaN,0.848,NaN,NaN,0.224
XiAn_这,0.739,0.739,0.739,0.739,0.739,1.000,1.000,0.665,NaN,0.344,NaN,NaN,NaN,NaN,NaN,0.652,NaN,NaN,0.270
Chengdu_这,0.739,0.739,0.739,0.739,0.739,1.000,1.000,0.665,NaN,0.344,NaN,NaN,NaN,NaN,NaN,0.652,NaN,NaN,0.270
Nanjing_这 块,0.662,0.662,0.662,0.662,0.662,0.665,0.665,1.000,NaN,0.329,NaN,NaN,NaN,NaN,NaN,0.665,NaN,NaN,0.195
Jixi_尔 搭,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suzhou_该 搭,0.374,0.374,0.374,0.374,0.374,0.344,0.344,0.329,NaN,1.000,NaN,NaN,NaN,NaN,NaN,0.380,NaN,NaN,0.383
Wenzhou_该 里,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Changsha_咯 裏,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Loudi_这 嗒 里 下,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN
Nanchang_竹固 裏,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN
Meixian_这 ?,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN
Guilin_这 个 地 方,0.848,0.848,0.848,0.848,0.848,0.652,0.652,0.665,NaN,0.380,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,0.096
Guangzhou_呢 到,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN
Fuzhou_只 里,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN
Xiamen_即 带,0.224,0.224,0.224,0.224,0.224,0.270,0.270,0.195,NaN,0.383,NaN,NaN,NaN,NaN,NaN,0.096,NaN,NaN,1.000
Beijing_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Haerbin_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Jinan_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Rongcheng_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Taiyuan_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
XiAn_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Chengdu_懂 了,0.625,0.625,0.625,0.625,0.625,0.625,1.000,0.625,0.641,0.641,0.641,0.625,0.641,0.641,0.465,0.641,0.625,NaN,0.278
Nanjing_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Jixi_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Suzhou_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Wenzhou_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Changsha_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Loudi_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Nanchang_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Meixian_知 得,0.437,0.437,0.437,0.437,0.437,0.437,0.465,0.437,0.596,0.596,0.596,0.437,0.596,0.596,1.000,0.596,0.437,NaN,0.439
Guilin_晓 得,0.888,0.888,0.888,0.888,0.888,0.888,0.641,0.888,1.000,1.000,1.000,0.888,1.000,1.000,0.596,1.000,0.888,NaN,0.310
Guangzhou_知 道,1.000,1.000,1.000,1.000,1.000,1.000,0.625,1.000,0.888,0.888,0.888,1.000,0.888,0.888,0.437,0.888,1.000,NaN,0.243
Fuzhou_仈 傳,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN
Xiamen_知 影,0.243,0.243,0.243,0.243,0.243,0.243,0.278,0.243,0.310,0.310,0.310,0.243,0.310,0.310,0.439,0.310,0.243,NaN,1.000
Beijing_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Haerbin_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jinan_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Rongcheng_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Taiyuan_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
XiAn_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Chengdu_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanjing_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jixi_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Suzhou_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Wenzhou_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Changsha_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Loudi_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanchang_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Meixian_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guilin_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guangzhou_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Fuzhou_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Xiamen_直,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Beijing_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Haerbin_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Jinan_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Rongcheng_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Taiyuan_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
XiAn_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Chengdu_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Nanjing_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Jixi_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Suzhou_⽧臺,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wenzhou_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Changsha_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Loudi_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Nanchang_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Meixian_瓜 肿,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN
Guilin_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Guangzhou_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Fuzhou_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Xiamen_肿,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000
Beijing_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Haerbin_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Jinan_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Rongcheng_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Taiyuan_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
XiAn_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Chengdu_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Nanjing_种 子,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.686,0.331,0.331,1.000,1.000,1.000,NaN,1.000,1.000,0.276,0.331
Jixi_种 籽,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,1.000,0.311,0.311,0.686,0.686,0.686,NaN,0.686,0.686,0.392,0.311
