,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Haerbin_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Jinan_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Rongcheng_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Taiyuan_漂,0.444,0.444,0.444,0.444,1.000,1.000,1.000,0.444,0.599,0.548,0.599,0.444,1.000,1.000,0.599,NaN,0.444,NaN,0.599
XiAn_漂,0.444,0.444,0.444,0.444,1.000,1.000,1.000,0.444,0.599,0.548,0.599,0.444,1.000,1.000,0.599,NaN,0.444,NaN,0.599
Chengdu_漂,0.444,0.444,0.444,0.444,1.000,1.000,1.000,0.444,0.599,0.548,0.599,0.444,1.000,1.000,0.599,NaN,0.444,NaN,0.599
Nanjing_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Jixi_浮,0.780,0.780,0.780,0.780,0.599,0.599,0.599,0.780,1.000,0.525,1.000,0.780,0.599,0.599,1.000,NaN,0.780,NaN,1.000
Suzhou_氽,0.381,0.381,0.381,0.381,0.548,0.548,0.548,0.381,0.525,1.000,0.525,0.381,0.548,0.548,0.525,NaN,0.381,NaN,0.525
Wenzhou_浮,0.780,0.780,0.780,0.780,0.599,0.599,0.599,0.780,1.000,0.525,1.000,0.780,0.599,0.599,1.000,NaN,0.780,NaN,1.000
Changsha_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Loudi_漂,0.444,0.444,0.444,0.444,1.000,1.000,1.000,0.444,0.599,0.548,0.599,0.444,1.000,1.000,0.599,NaN,0.444,NaN,0.599
Nanchang_漂,0.444,0.444,0.444,0.444,1.000,1.000,1.000,0.444,0.599,0.548,0.599,0.444,1.000,1.000,0.599,NaN,0.444,NaN,0.599
Meixian_浮,0.780,0.780,0.780,0.780,0.599,0.599,0.599,0.780,1.000,0.525,1.000,0.780,0.599,0.599,1.000,NaN,0.780,NaN,1.000
Guilin_浮 倒,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN
Guangzhou_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
Fuzhou_漂 𡅏,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN
Xiamen_浮,0.780,0.780,0.780,0.780,0.599,0.599,0.599,0.780,1.000,0.525,1.000,0.780,0.599,0.599,1.000,NaN,0.780,NaN,1.000
Beijing_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Haerbin_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jinan_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Rongcheng_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Taiyuan_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
XiAn_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Chengdu_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanjing_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jixi_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Suzhou_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Wenzhou_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Changsha_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Loudi_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanchang_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Meixian_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guilin_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guangzhou_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Fuzhou_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Xiamen_平,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Beijing_妻 子,1.000,0.841,1.000,0.841,0.841,0.535,0.841,0.841,0.563,0.447,0.382,1.000,0.531,1.000,0.841,0.841,1.000,0.583,0.324
Haerbin_老 婆,0.841,1.000,0.841,1.000,1.000,0.550,1.000,1.000,0.387,0.438,0.385,0.841,0.589,0.841,1.000,1.000,0.841,0.528,0.302
Jinan_妻 子,1.000,0.841,1.000,0.841,0.841,0.535,0.841,0.841,0.563,0.447,0.382,1.000,0.531,1.000,0.841,0.841,1.000,0.583,0.324
